,ulsd
2024-11-12,2.2107999324798584
2024-11-13,2.2193000316619873
2024-11-14,2.2123000621795654
2024-11-15,2.1709001064300537
2024-11-18,2.2513999938964844
2024-11-19,2.2402000427246094
2024-11-20,2.226300001144409
2024-11-21,2.274399995803833
2024-11-22,2.274899959564209
2024-11-25,2.235300064086914
2024-11-26,2.2404000759124756
2024-11-27,2.2035999298095703
2024-11-29,2.193000078201294
2024-12-02,2.1777000427246094
2024-12-03,2.2177000045776367
2024-12-04,2.1673998832702637
2024-12-05,2.1556999683380127
2024-12-06,2.1326000690460205
2024-12-09,2.183500051498413
2024-12-10,2.1861000061035156
2024-12-11,2.223299980163574
2024-12-12,2.236599922180176
2024-12-13,2.2699999809265137
2024-12-16,2.2639999389648438
2024-12-17,2.2279000282287598
2024-12-18,2.255000114440918
2024-12-19,2.2376999855041504
2024-12-20,2.2316999435424805
2024-12-23,2.226300001144409
2024-12-24,2.2214999198913574
2024-12-26,2.2053000926971436
2024-12-27,2.244800090789795
2024-12-30,2.299499988555908
2024-12-31,2.3206000328063965
2025-01-02,2.3540000915527344
2025-01-03,2.3478000164031982
2025-01-06,2.3552000522613525
2025-01-07,2.366300106048584
2025-01-08,2.3506999015808105
2025-01-09,2.378200054168701
2025-01-10,2.501699924468994
2025-01-13,2.5332999229431152
2025-01-14,2.5253000259399414
2025-01-15,2.6135001182556152
2025-01-16,2.6171998977661133
2025-01-17,2.621000051498413
2025-01-21,2.5580999851226807
2025-01-22,2.4842000007629395
2025-01-23,2.4714999198913574
2025-01-24,2.516200065612793
2025-01-27,2.4600000381469727
2025-01-28,2.4500999450683594
2025-01-29,2.4539999961853027
2025-01-30,2.475399971008301
2025-01-31,2.484499931335449
2025-02-03,2.463099956512451
2025-02-04,2.429800033569336
2025-02-05,2.384200096130371
2025-02-06,2.3980000019073486
2025-02-07,2.430799961090088
2025-02-10,2.450900077819824
2025-02-11,2.5146000385284424
2025-02-12,2.4519999027252197
2025-02-13,2.448699951171875
2025-02-14,2.4618000984191895
2025-02-18,2.4405999183654785
2025-02-19,2.4565000534057617
2025-02-20,2.5034000873565674
2025-02-21,2.432300090789795
2025-02-24,2.435800075531006
2025-02-25,2.3903000354766846
2025-02-26,2.3443000316619873
2025-02-27,2.395900011062622
2025-02-28,2.3548998832702637
2025-03-03,2.2604000568389893
2025-03-04,2.2871999740600586
2025-03-05,2.240799903869629
2025-03-06,2.22379994392395
2025-03-07,2.2160000801086426
2025-03-10,2.1798999309539795
2025-03-11,2.1967999935150146
2025-03-12,2.2063000202178955
2025-03-13,2.1621999740600586
2025-03-14,2.166599988937378
2025-03-17,2.2037999629974365
2025-03-18,2.194499969482422
2025-03-19,2.2318999767303467
2025-03-20,2.254300117492676
2025-03-21,2.2495999336242676
2025-03-24,2.2571001052856445
2025-03-25,2.285900115966797
2025-03-26,2.2887001037597656
2025-03-27,2.2846999168395996
2025-03-28,2.2609000205993652
2025-03-31,2.313999891281128
2025-04-01,2.2888998985290527
2025-04-02,2.322000026702881
2025-04-03,2.1888999938964844
2025-04-04,2.081899881362915
2025-04-07,2.0699000358581543
2025-04-08,2.056999921798706
2025-04-09,2.113600015640259
2025-04-10,2.0464000701904297
2025-04-11,2.0652999877929688
2025-04-14,2.0917000770568848
2025-04-15,2.078399896621704
2025-04-16,2.1154000759124756
